17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:10:14 | Phase 2 | < 1 , 18 > Num zeros  | 3
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > NI_PLUS   | 99
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > NI_MINUS   | 88
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > h_plus   | 0.0124909090909091
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > fraction   | 1.125
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > h_minus   | 0.0140522727272727
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > ACC[var,h]  | 0.837121212121212
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > Zeros   | 0.00594772727272728, 0.0473117647058824, 0.0615909090909091
17/02/06-23:10:14 | Phase 2 | < 1 , 19 > Num zeros  | 3
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > NI_PLUS   | 99
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > NI_MINUS   | 88
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > h_plus   | 0.0131737373737374
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > fraction   | 1.125
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > h_minus   | 0.0148204545454545
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > Zeros   | 0.0473117647058823, 0.100420454545455
17/02/06-23:10:14 | Phase 2 | < 1 , 20 > Num zeros  | 2
17/02/06-23:10:14 | Phase 2 | < 1 , 21 > NI_PLUS   | 99
17/02/06-23:10:14 | Phase 2 | < 1 , 21 > NI_MINUS   | 88
17/02/06-23:10:14 | Phase 2 | < 1 , 21 > h_plus   | 0.0138565656565657
17/02/06-23:10:14 | Phase 2 | < 1 , 21 > fraction   | 1.125
17/02/06-23:10:14 | Phase 2 | < 1 , 21 > h_minus   | 0.0155886363636364
17/02/06-23:10:15 | Phase 2 | < 1 , 21 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:15 | Phase 2 | < 1 , 21 > Zeros   | 0.0473117647058824
17/02/06-23:10:15 | Phase 2 | < 1 , 21 > Num zeros  | 1
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > NI_PLUS   | 99
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > NI_MINUS   | 88
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > h_plus   | 0.0145393939393939
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > fraction   | 1.125
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > h_minus   | 0.0163568181818182
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > Zeros   | 0.0473117647058824, 0.101956818181818
17/02/06-23:10:15 | Phase 2 | < 1 , 22 > Num zeros  | 2
17/02/06-23:10:15 | Phase 2 | < 1 , 23 > NI_PLUS   | 99
17/02/06-23:10:15 | Phase 2 | < 1 , 23 > NI_MINUS   | 88
17/02/06-23:10:15 | Phase 2 | < 1 , 23 > h_plus   | 0.0152222222222222
17/02/06-23:10:15 | Phase 2 | < 1 , 23 > fraction   | 1.125
17/02/06-23:10:15 | Phase 2 | < 1 , 23 > h_minus   | 0.017125
17/02/06-23:10:16 | Phase 2 | < 1 , 23 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:16 | Phase 2 | < 1 , 23 > Zeros   | 0.0473117647058823
17/02/06-23:10:16 | Phase 2 | < 1 , 23 > Num zeros  | 1
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > NI_PLUS   | 99
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > NI_MINUS   | 88
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > h_plus   | 0.0159050505050505
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > fraction   | 1.125
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > h_minus   | 0.0178931818181818
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > Zeros   | 0.0473117647058823, 0.103493181818182
17/02/06-23:10:16 | Phase 2 | < 1 , 24 > Num zeros  | 2
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > NI_PLUS   | 99
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > NI_MINUS   | 88
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > h_plus   | 0.0165878787878788
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > fraction   | 1.125
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > h_minus   | 0.0186613636363636
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > Zeros   | 0.0473117647058824
17/02/06-23:10:16 | Phase 2 | < 1 , 25 > Num zeros  | 1
17/02/06-23:10:16 | Phase 2 | < 1 , 26 > NI_PLUS   | 99
17/02/06-23:10:16 | Phase 2 | < 1 , 26 > NI_MINUS   | 88
17/02/06-23:10:16 | Phase 2 | < 1 , 26 > h_plus   | 0.0172707070707071
17/02/06-23:10:16 | Phase 2 | < 1 , 26 > fraction   | 1.125
17/02/06-23:10:16 | Phase 2 | < 1 , 26 > h_minus   | 0.0194295454545454
17/02/06-23:10:17 | Phase 2 | < 1 , 26 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:17 | Phase 2 | < 1 , 26 > Zeros   | 0.0473117647058823, 0.105029545454545, 0.114029292929293
17/02/06-23:10:17 | Phase 2 | < 1 , 26 > Num zeros  | 3
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > NI_PLUS   | 99
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > NI_MINUS   | 88
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > h_plus   | 0.0179535353535353
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > fraction   | 1.125
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > h_minus   | 0.0201977272727273
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > Zeros   | 0.0473117647058824
17/02/06-23:10:17 | Phase 2 | < 1 , 27 > Num zeros  | 1
17/02/06-23:10:17 | Phase 2 | < 1 , 28 > NI_PLUS   | 99
17/02/06-23:10:17 | Phase 2 | < 1 , 28 > NI_MINUS   | 88
17/02/06-23:10:17 | Phase 2 | < 1 , 28 > h_plus   | 0.0186363636363636
17/02/06-23:10:17 | Phase 2 | < 1 , 28 > fraction   | 1.125
17/02/06-23:10:17 | Phase 2 | < 1 , 28 > h_minus   | 0.0209659090909091
17/02/06-23:10:18 | Phase 2 | < 1 , 28 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:18 | Phase 2 | < 1 , 28 > Zeros   | 0.0473117647058824, 0.106565909090909
17/02/06-23:10:18 | Phase 2 | < 1 , 28 > Num zeros  | 2
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > NI_PLUS   | 99
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > NI_MINUS   | 88
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > h_plus   | 0.0193191919191919
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > fraction   | 1.125
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > h_minus   | 0.0217340909090909
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > Zeros   | 0.047832992695549
17/02/06-23:10:18 | Phase 2 | < 1 , 29 > Num zeros  | 1
17/02/06-23:10:18 | Phase 2 | < 1 , 30 > NI_PLUS   | 99
17/02/06-23:10:18 | Phase 2 | < 1 , 30 > NI_MINUS   | 88
17/02/06-23:10:18 | Phase 2 | < 1 , 30 > h_plus   | 0.0200020202020202
17/02/06-23:10:18 | Phase 2 | < 1 , 30 > fraction   | 1.125
17/02/06-23:10:18 | Phase 2 | < 1 , 30 > h_minus   | 0.0225022727272727
17/02/06-23:10:19 | Phase 2 | < 1 , 30 > ACC[var,h]  | 0.843434343434343
17/02/06-23:10:19 | Phase 2 | < 1 , 30 > Zeros   | 0.048486248035418
17/02/06-23:10:19 | Phase 2 | < 1 , 30 > Num zeros  | 1
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > NI_PLUS   | 99
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > NI_MINUS   | 88
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > h_plus   | 0.0206848484848485
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > fraction   | 1.125
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > h_minus   | 0.0232704545454545
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > ACC[var,h]  | 0.853535353535353
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > Zeros   | 0.0491498544847433
17/02/06-23:10:19 | Phase 2 | < 1 , 31 > Num zeros  | 1
17/02/06-23:10:19 | Phase 2 | < 1 , 32 > NI_PLUS   | 99
17/02/06-23:10:19 | Phase 2 | < 1 , 32 > NI_MINUS   | 88
17/02/06-23:10:19 | Phase 2 | < 1 , 32 > h_plus   | 0.0213676767676768
17/02/06-23:10:19 | Phase 2 | < 1 , 32 > fraction   | 1.125
17/02/06-23:10:19 | Phase 2 | < 1 , 32 > h_minus   | 0.0240386363636364
17/02/06-23:10:20 | Phase 2 | < 1 , 32 > ACC[var,h]  | 0.853535353535353
17/02/06-23:10:20 | Phase 2 | < 1 , 32 > Zeros   | 0.0498232563087942
17/02/06-23:10:20 | Phase 2 | < 1 , 32 > Num zeros  | 1
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > NI_PLUS   | 99
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > NI_MINUS   | 88
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > h_plus   | 0.022050505050505
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > fraction   | 1.125
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > h_minus   | 0.0248068181818182
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > ACC[var,h]  | 0.853535353535353
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > Zeros   | 0.0505059294937175, 0.109794117647059
17/02/06-23:10:20 | Phase 2 | < 1 , 33 > Num zeros  | 2
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > NI_PLUS   | 99
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > NI_MINUS   | 88
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > h_plus   | 0.0227333333333333
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > fraction   | 1.125
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > h_minus   | 0.025575
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > ACC[var,h]  | 0.96969696969697
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > Zeros   | 0.109794117647059
17/02/06-23:10:20 | Phase 2 | < 1 , 34 > Num zeros  | 1
17/02/06-23:10:20 | Phase 2 | < 1 , 35 > NI_PLUS   | 99
17/02/06-23:10:20 | Phase 2 | < 1 , 35 > NI_MINUS   | 88
17/02/06-23:10:20 | Phase 2 | < 1 , 35 > h_plus   | 0.0234161616161616
17/02/06-23:10:20 | Phase 2 | < 1 , 35 > fraction   | 1.125
17/02/06-23:10:20 | Phase 2 | < 1 , 35 > h_minus   | 0.0263431818181818
17/02/06-23:10:21 | Phase 2 | < 1 , 35 > ACC[var,h]  | 0.96969696969697
17/02/06-23:10:21 | Phase 2 | < 1 , 35 > Zeros   | 0.109794117647059
17/02/06-23:10:21 | Phase 2 | < 1 , 35 > Num zeros  | 1
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > NI_PLUS   | 99
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > NI_MINUS   | 88
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > h_plus   | 0.0240989898989899
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > fraction   | 1.125
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > h_minus   | 0.0271113636363636
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > ACC[var,h]  | 0.96969696969697
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > Zeros   | 0.109794117647059
17/02/06-23:10:21 | Phase 2 | < 1 , 36 > Num zeros  | 1
17/02/06-23:10:21 | Phase 2 | < 1 , 37 > NI_PLUS   | 99
17/02/06-23:10:21 | Phase 2 | < 1 , 37 > NI_MINUS   | 88
17/02/06-23:10:21 | Phase 2 | < 1 , 37 > h_plus   | 0.0247818181818182
17/02/06-23:10:21 | Phase 2 | < 1 , 37 > fraction   | 1.125
17/02/06-23:10:21 | Phase 2 | < 1 , 37 > h_minus   | 0.0278795454545455
17/02/06-23:10:22 | Phase 2 | < 1 , 37 > ACC[var,h]  | 1
17/02/06-23:10:22 | Phase 2 | < 1 , 37 > Zeros   | 
17/02/06-23:10:22 | Phase 2 | < 1 , 37 > Num zeros  | 0
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > NI_PLUS   | 99
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > NI_MINUS   | 88
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > h_plus   | 0.0254646464646465
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > fraction   | 1.125
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > h_minus   | 0.0286477272727273
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > ACC[var,h]  | 1
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > Zeros   | 
17/02/06-23:10:22 | Phase 2 | < 1 , 38 > Num zeros  | 0
17/02/06-23:10:22 | Phase 2 | < 1 , 39 > NI_PLUS   | 99
17/02/06-23:10:22 | Phase 2 | < 1 , 39 > NI_MINUS   | 88
17/02/06-23:10:22 | Phase 2 | < 1 , 39 > h_plus   | 0.0261474747474747
17/02/06-23:10:22 | Phase 2 | < 1 , 39 > fraction   | 1.125
17/02/06-23:10:22 | Phase 2 | < 1 , 39 > h_minus   | 0.0294159090909091
17/02/06-23:10:23 | Phase 2 | < 1 , 39 > ACC[var,h]  | 1
17/02/06-23:10:23 | Phase 2 | < 1 , 39 > Zeros   | 
17/02/06-23:10:23 | Phase 2 | < 1 , 39 > Num zeros  | 0
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > NI_PLUS   | 99
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > NI_MINUS   | 88
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > h_plus   | 0.026830303030303
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > fraction   | 1.125
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > h_minus   | 0.0301840909090909
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > ACC[var,h]  | 1
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > Zeros   | 
17/02/06-23:10:23 | Phase 2 | < 1 , 40 > Num zeros  | 0
17/02/06-23:10:23 | Phase 2 | < 1 , 41 > NI_PLUS   | 99
17/02/06-23:10:23 | Phase 2 | < 1 , 41 > NI_MINUS   | 88
17/02/06-23:10:23 | Phase 2 | < 1 , 41 > h_plus   | 0.0275131313131313
17/02/06-23:10:23 | Phase 2 | < 1 , 41 > fraction   | 1.125
17/02/06-23:10:23 | Phase 2 | < 1 , 41 > h_minus   | 0.0309522727272727
17/02/06-23:10:24 | Phase 2 | < 1 , 41 > ACC[var,h]  | 1
17/02/06-23:10:24 | Phase 2 | < 1 , 41 > Zeros   | 
17/02/06-23:10:24 | Phase 2 | < 1 , 41 > Num zeros  | 0
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > NI_PLUS   | 99
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > NI_MINUS   | 88
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > h_plus   | 0.0281959595959596
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > fraction   | 1.125
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > h_minus   | 0.0317204545454545
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > ACC[var,h]  | 1
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > Zeros   | 
17/02/06-23:10:24 | Phase 2 | < 1 , 42 > Num zeros  | 0
17/02/06-23:10:24 | Phase 2 | < 1 , 43 > NI_PLUS   | 99
17/02/06-23:10:24 | Phase 2 | < 1 , 43 > NI_MINUS   | 88
17/02/06-23:10:24 | Phase 2 | < 1 , 43 > h_plus   | 0.0288787878787879
17/02/06-23:10:24 | Phase 2 | < 1 , 43 > fraction   | 1.125
17/02/06-23:10:24 | Phase 2 | < 1 , 43 > h_minus   | 0.0324886363636364
17/02/06-23:10:25 | Phase 2 | < 1 , 43 > ACC[var,h]  | 1
17/02/06-23:10:25 | Phase 2 | < 1 , 43 > Zeros   | 
17/02/06-23:10:25 | Phase 2 | < 1 , 43 > Num zeros  | 0
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > NI_PLUS   | 99
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > NI_MINUS   | 88
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > h_plus   | 0.0295616161616162
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > fraction   | 1.125
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > h_minus   | 0.0332568181818182
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > ACC[var,h]  | 1
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > Zeros   | 
17/02/06-23:10:25 | Phase 2 | < 1 , 44 > Num zeros  | 0
17/02/06-23:10:25 | Phase 2 | < 1 , 45 > NI_PLUS   | 99
17/02/06-23:10:25 | Phase 2 | < 1 , 45 > NI_MINUS   | 88
17/02/06-23:10:25 | Phase 2 | < 1 , 45 > h_plus   | 0.0302444444444444
17/02/06-23:10:25 | Phase 2 | < 1 , 45 > fraction   | 1.125
17/02/06-23:10:25 | Phase 2 | < 1 , 45 > h_minus   | 0.034025
17/02/06-23:10:26 | Phase 2 | < 1 , 45 > ACC[var,h]  | 1
17/02/06-23:10:26 | Phase 2 | < 1 , 45 > Zeros   | 
17/02/06-23:10:26 | Phase 2 | < 1 , 45 > Num zeros  | 0
17/02/06-23:10:26 | Phase 2 | < 1 , 46 > NI_PLUS   | 99
17/02/06-23:10:26 | Phase 2 | < 1 , 46 > NI_MINUS   | 88
17/02/06-23:10:26 | Phase 2 | < 1 , 46 > h_plus   | 0.0309272727272727
17/02/06-23:10:26 | Phase 2 | < 1 , 46 > fraction   | 1.125
17/02/06-23:10:26 | Phase 2 | < 1 , 46 > h_minus   | 0.0347931818181818
17/02/06-23:10:27 | Phase 2 | < 1 , 46 > ACC[var,h]  | 1
17/02/06-23:10:27 | Phase 2 | < 1 , 46 > Zeros   | 
17/02/06-23:10:27 | Phase 2 | < 1 , 46 > Num zeros  | 0
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > NI_PLUS   | 99
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > NI_MINUS   | 88
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > h_plus   | 0.031610101010101
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > fraction   | 1.125
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > h_minus   | 0.0355613636363636
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > ACC[var,h]  | 1
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > Zeros   | 
17/02/06-23:10:27 | Phase 2 | < 1 , 47 > Num zeros  | 0
17/02/06-23:10:27 | Phase 2 | < 1 , 48 > NI_PLUS   | 99
17/02/06-23:10:27 | Phase 2 | < 1 , 48 > NI_MINUS   | 88
17/02/06-23:10:27 | Phase 2 | < 1 , 48 > h_plus   | 0.0322929292929293
17/02/06-23:10:27 | Phase 2 | < 1 , 48 > fraction   | 1.125
17/02/06-23:10:27 | Phase 2 | < 1 , 48 > h_minus   | 0.0363295454545454
17/02/06-23:10:28 | Phase 2 | < 1 , 48 > ACC[var,h]  | 1
17/02/06-23:10:28 | Phase 2 | < 1 , 48 > Zeros   | 
17/02/06-23:10:28 | Phase 2 | < 1 , 48 > Num zeros  | 0
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > NI_PLUS   | 99
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > NI_MINUS   | 88
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > h_plus   | 0.0329757575757576
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > fraction   | 1.125
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > h_minus   | 0.0370977272727273
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > ACC[var,h]  | 1
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > Zeros   | 
17/02/06-23:10:28 | Phase 2 | < 1 , 49 > Num zeros  | 0
17/02/06-23:10:28 | Phase 2 | < 1 , 50 > NI_PLUS   | 99
17/02/06-23:10:28 | Phase 2 | < 1 , 50 > NI_MINUS   | 88
17/02/06-23:10:28 | Phase 2 | < 1 , 50 > h_plus   | 0.0336585858585859
17/02/06-23:10:28 | Phase 2 | < 1 , 50 > fraction   | 1.125
17/02/06-23:10:28 | Phase 2 | < 1 , 50 > h_minus   | 0.0378659090909091
17/02/06-23:10:29 | Phase 2 | < 1 , 50 > ACC[var,h]  | 1
17/02/06-23:10:29 | Phase 2 | < 1 , 50 > Zeros   | 
17/02/06-23:10:29 | Phase 2 | < 1 , 50 > Num zeros  | 0
17/02/06-23:10:29 | Phase 2 | < 1 , 51 > NI_PLUS   | 99
17/02/06-23:10:29 | Phase 2 | < 1 , 51 > NI_MINUS   | 88
17/02/06-23:10:29 | Phase 2 | < 1 , 51 > h_plus   | 0.0343414141414141
17/02/06-23:10:29 | Phase 2 | < 1 , 51 > fraction   | 1.125
17/02/06-23:10:29 | Phase 2 | < 1 , 51 > h_minus   | 0.0386340909090909
17/02/06-23:10:30 | Phase 2 | < 1 , 51 > ACC[var,h]  | 1
17/02/06-23:10:30 | Phase 2 | < 1 , 51 > Zeros   | 
17/02/06-23:10:30 | Phase 2 | < 1 , 51 > Num zeros  | 0
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > NI_PLUS   | 99
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > NI_MINUS   | 88
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > h_plus   | 0.0350242424242424
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > fraction   | 1.125
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > h_minus   | 0.0394022727272727
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > ACC[var,h]  | 1
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > Zeros   | 
17/02/06-23:10:30 | Phase 2 | < 1 , 52 > Num zeros  | 0
17/02/06-23:10:30 | Phase 2 | < 1 , 53 > NI_PLUS   | 99
17/02/06-23:10:30 | Phase 2 | < 1 , 53 > NI_MINUS   | 88
17/02/06-23:10:30 | Phase 2 | < 1 , 53 > h_plus   | 0.0357070707070707
17/02/06-23:10:30 | Phase 2 | < 1 , 53 > fraction   | 1.125
17/02/06-23:10:30 | Phase 2 | < 1 , 53 > h_minus   | 0.0401704545454545
17/02/06-23:10:31 | Phase 2 | < 1 , 53 > ACC[var,h]  | 1
17/02/06-23:10:31 | Phase 2 | < 1 , 53 > Zeros   | 
17/02/06-23:10:31 | Phase 2 | < 1 , 53 > Num zeros  | 0
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > NI_PLUS   | 99
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > NI_MINUS   | 88
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > h_plus   | 0.036389898989899
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > fraction   | 1.125
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > h_minus   | 0.0409386363636364
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > ACC[var,h]  | 1
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > Zeros   | 
17/02/06-23:10:31 | Phase 2 | < 1 , 54 > Num zeros  | 0
17/02/06-23:10:31 | Phase 2 | < 1 , 55 > NI_PLUS   | 99
17/02/06-23:10:31 | Phase 2 | < 1 , 55 > NI_MINUS   | 88
17/02/06-23:10:31 | Phase 2 | < 1 , 55 > h_plus   | 0.0370727272727273
17/02/06-23:10:31 | Phase 2 | < 1 , 55 > fraction   | 1.125
17/02/06-23:10:31 | Phase 2 | < 1 , 55 > h_minus   | 0.0417068181818182
17/02/06-23:10:32 | Phase 2 | < 1 , 55 > ACC[var,h]  | 1
17/02/06-23:10:32 | Phase 2 | < 1 , 55 > Zeros   | 
17/02/06-23:10:32 | Phase 2 | < 1 , 55 > Num zeros  | 0
17/02/06-23:10:32 | Phase 2 | < 1 , 56 > NI_PLUS   | 99
17/02/06-23:10:32 | Phase 2 | < 1 , 56 > NI_MINUS   | 88
17/02/06-23:10:32 | Phase 2 | < 1 , 56 > h_plus   | 0.0377555555555556
17/02/06-23:10:32 | Phase 2 | < 1 , 56 > fraction   | 1.125
17/02/06-23:10:32 | Phase 2 | < 1 , 56 > h_minus   | 0.042475
17/02/06-23:10:33 | Phase 2 | < 1 , 56 > ACC[var,h]  | 1
17/02/06-23:10:33 | Phase 2 | < 1 , 56 > Zeros   | 
17/02/06-23:10:33 | Phase 2 | < 1 , 56 > Num zeros  | 0
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > NI_PLUS   | 99
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > NI_MINUS   | 88
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > h_plus   | 0.0384383838383838
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > fraction   | 1.125
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > h_minus   | 0.0432431818181818
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > ACC[var,h]  | 1
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > Zeros   | 
17/02/06-23:10:33 | Phase 2 | < 1 , 57 > Num zeros  | 0
17/02/06-23:10:33 | Phase 2 | < 1 , 58 > NI_PLUS   | 99
17/02/06-23:10:33 | Phase 2 | < 1 , 58 > NI_MINUS   | 88
17/02/06-23:10:33 | Phase 2 | < 1 , 58 > h_plus   | 0.0391212121212121
17/02/06-23:10:33 | Phase 2 | < 1 , 58 > fraction   | 1.125
17/02/06-23:10:33 | Phase 2 | < 1 , 58 > h_minus   | 0.0440113636363636
17/02/06-23:10:34 | Phase 2 | < 1 , 58 > ACC[var,h]  | 1
17/02/06-23:10:34 | Phase 2 | < 1 , 58 > Zeros   | 
17/02/06-23:10:34 | Phase 2 | < 1 , 58 > Num zeros  | 0
17/02/06-23:10:34 | Phase 2 | < 1 , 59 > NI_PLUS   | 99
17/02/06-23:10:34 | Phase 2 | < 1 , 59 > NI_MINUS   | 88
17/02/06-23:10:34 | Phase 2 | < 1 , 59 > h_plus   | 0.0398040404040404
17/02/06-23:10:34 | Phase 2 | < 1 , 59 > fraction   | 1.125
17/02/06-23:10:34 | Phase 2 | < 1 , 59 > h_minus   | 0.0447795454545455
17/02/06-23:10:35 | Phase 2 | < 1 , 59 > ACC[var,h]  | 1
